,adv_acc,adv_cov,adv_prec,adv_pred_time,adv_rec,attack_batch_size,attack_id,attack_iter,attack_name,attack_size,attack_threshold,attack_time,ben_acc,ben_cov,ben_pred_time,classifier_id,classifier_name,data_id,def_name,defense_id,id,n,train_time
368,0.92,,,10.699008971001604,,1024,0afaaf9eaee61bf36321e475184d7f6ded39e1154124837c30a23b63b2f93ad3,10,FGM-step_size:0.001-norm:1,100,0.03,37.23368124600165,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,ffb8d8b23f2be1add2dd3e1b34ce22543e9bad4af5b20db0d53df5f71655a252,50000,488.5682582119998
369,0.88,,,10.760351420001824,,1024,202b8e3b355e17b2551e17ac82037bd3b682ac4b4a09ade5d2ab6372e12d4b9e,10,FGM-step_size:0.001-norm:2,100,0.03,35.26209429699884,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,91ad3b3476a09761aaebccf9c66fe25c9318a1ef2d296d41730de6bb1beac523,50000,488.5682582119998
370,0.53,,,10.656732063001982,,1024,c71b54f099e19c81142dd9345192cdc61815cafdf3cd754dc3427b38d97dc74d,10,FGM-step_size:0.001-norm:inf,100,0.03,35.50985248299912,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,321ae7e3772fe4ef948e8e1843ddd294b29cbc075cf47cae7795e2b599a23a4b,50000,488.5682582119998
371,0.92,,,10.58862708399829,,1024,6babd95e5be63ef6c53801fbc7505f7a96effbe7177115fb30ebff6466719893,10,FGM-step_size:0.01-norm:1,100,0.03,35.30793979699956,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,3f632a1e71c8d1a059a3a1d3f0e1d8ad28ce81e77c611699f2686ee0c7204b09,50000,488.5682582119998
372,0.88,,,10.80085804999908,,1024,693186ab3d4cefefbcd43bfc67ce3150f8ec78bb40c6c1249d077512ddf08d05,10,FGM-step_size:0.01-norm:2,100,0.03,35.63594512599957,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,9bab4acfaff367f78b87a007daf34cbb521fa0182efb6d62b78862e93367d6ff,50000,488.5682582119998
373,0.53,,,11.47012057699976,,1024,65ac65c937887b1d835436411559d587b70722ee5c2af71d5cd98712b5cfbdbf,10,FGM-step_size:0.01-norm:inf,100,0.03,35.32913947099951,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,d177dbc57518eb5bda46c2a9e34e31d2551466440bf670384ee61b72465ecaa1,50000,488.5682582119998
374,0.92,,,11.49468689599962,,1024,62f77543b1e24bd0ccc04eecbf72ba48325c15d7da3d72c695c1d944f30c1e06,10,FGM-step_size:0.1-norm:1,100,0.03,39.05723959799798,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,d45e22cb1f3865ed28511b56241d5587542f62f7b63371110a4e3582167b359e,50000,488.5682582119998
375,0.88,,,10.561400815997333,,1024,8acb5ae5d3249ddff6e0e3657451585d1033b7ea8caca07e637f8ec24c4cacca,10,FGM-step_size:0.1-norm:2,100,0.03,37.9827873840004,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,1e3974593225dd4ddb87e0bf195cdbda6ba480bfcc197558f35a99f3bcedbddc,50000,488.5682582119998
376,0.53,,,10.63534830199933,,1024,2abd7381e6b60ff740f6453a12857ab2c5532164756b9894bfde2856cac60a0f,10,FGM-step_size:0.1-norm:inf,100,0.03,35.596509885999694,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,6de2d5bd356826c55daa4dabd7202dd54261af80ca2543ec1d8bb7ccca426802,50000,488.5682582119998
377,0.72,,,10.71340512000097,,1024,46b2856d7242b36c383649ff2c20148d34c92ed7b0e0d638314b70d0df933491,10,PGD-step_size:0.001-norm:1,100,0.03,287.869535668,0.95,,1083.928521286998,d383e53bbbe7f9dfb48e6184b484539e5da9e72644b98136668f54df0046c187,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Round-decimals:3,45b95031c5688497a1c5a67efadca2c40b6bf41f5740805ccd1deac79d0b3fde,b6b8f5205e1384a02f64dded8950ade71ad492be6c3c42392a7ceab9917a1e16,50000,
378,0.72,,,10.719380990998616,,1024,649396d2feb03d963ceb8534ce11b98115f25697a681247722f58360527c6cba,10,PGD-step_size:0.001-norm:2,100,0.03,287.94015009299983,0.95,,1083.928521286998,d383e53bbbe7f9dfb48e6184b484539e5da9e72644b98136668f54df0046c187,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Round-decimals:3,45b95031c5688497a1c5a67efadca2c40b6bf41f5740805ccd1deac79d0b3fde,855d726e8228068fbf8e50e697fe6c2c05d71aa17a6b849f51643d0bd2f2805f,50000,
379,0.72,,,10.65410902000076,,1024,06714fb59748e015a24d39aad6e982e483d120c82aaea0b951b665ef587b1189,10,PGD-step_size:0.001-norm:inf,100,0.03,289.9828867159995,0.95,,1083.928521286998,d383e53bbbe7f9dfb48e6184b484539e5da9e72644b98136668f54df0046c187,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Round-decimals:3,45b95031c5688497a1c5a67efadca2c40b6bf41f5740805ccd1deac79d0b3fde,89e36d0adacb8feba8dbeb9a99b09c02bb866f75c28674c0bfe0de739c88dcc4,50000,
380,0.72,,,11.970721851001144,,1024,9d4905483d4d3bd8f8ae621371f50a00e83984c043f362275421af53bd05422e,10,PGD-step_size:0.01-norm:1,100,0.03,282.2729267459981,0.95,,1083.928521286998,d383e53bbbe7f9dfb48e6184b484539e5da9e72644b98136668f54df0046c187,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Round-decimals:3,45b95031c5688497a1c5a67efadca2c40b6bf41f5740805ccd1deac79d0b3fde,506edb1b69f18f02955753bfeee02c8fa792d902de980265de11a62aeb7eea99,50000,
381,0.72,,,10.825918521997664,,1024,e3d08ebbdcec8e894f97428ead7f94439039c4faf6aae13054a41a38e63e07f6,10,PGD-step_size:0.01-norm:2,100,0.03,282.41019736400267,0.95,,1083.928521286998,d383e53bbbe7f9dfb48e6184b484539e5da9e72644b98136668f54df0046c187,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Round-decimals:3,45b95031c5688497a1c5a67efadca2c40b6bf41f5740805ccd1deac79d0b3fde,16645b5710189abf53e8d926ca10917c54717fcb54263c3aea32913be09ce4ea,50000,
